file	duration
137778-4-9163234-task-9wxo-30864424-Shane-111-2	1.6179999999999999
137778-4-9163234-task-9wxo-30864424-Shane-119-2	0.9699999999999999
137778-4-9163234-task-9wxo-30864424-Shane-123-2	0.8899999999999998
137778-4-9163234-task-9wxo-30864424-Shane-135-2	0.9139999999999998
137778-4-9163234-task-9wxo-30864424-Shane-249-2	1.0019999999999998
137778-4-9163234-task-9wxo-30864424-Shane-51-2	1.2979999999999998
137778-4-9163234-task-9wxo-30864424-ceiling-138-2	1.2499999999999998
137778-4-9163234-task-9wxo-30864424-ceiling-176-2	0.9859999999999999
137778-4-9163234-task-9wxo-30864424-ceiling-264-2	0.7939999999999998
137778-4-9163234-task-9wxo-30864424-ceiling-69-2	1.0099999999999998
137778-4-9163234-task-9wxo-30864424-ceiling-71-2	1.3059999999999998
137778-4-9163234-task-9wxo-30864424-ceiling-81-2	1.0259999999999998
137778-4-9163234-task-9wxo-30864424-cement-153-2	1.5159999999999996
137778-4-9163234-task-9wxo-30864424-cement-156-2	0.9619999999999999
137778-4-9163234-task-9wxo-30864424-cement-158-2	1.0179999999999998
137778-4-9163234-task-9wxo-30864424-cement-188-2	0.7939999999999998
137778-4-9163234-task-9wxo-30864424-cement-247-2	0.8819999999999998
137778-4-9163234-task-9wxo-30864424-cement-48-2	1.17
137778-4-9163234-task-9wxo-30864424-cemetery-122-2	1.0739999999999998
137778-4-9163234-task-9wxo-30864424-cemetery-13-2	1.138
137778-4-9163234-task-9wxo-30864424-cemetery-216-2	0.8819999999999998
137778-4-9163234-task-9wxo-30864424-cemetery-277-2	1.0979999999999999
137778-4-9163234-task-9wxo-30864424-cemetery-59-2	1.1219999999999999
137778-4-9163234-task-9wxo-30864424-cemetery-89-2	1.0979999999999999
137778-4-9163234-task-9wxo-30864424-ceremony-1-2	2.81
137778-4-9163234-task-9wxo-30864424-ceremony-174-2	1.0899999999999999
137778-4-9163234-task-9wxo-30864424-ceremony-196-2	0.8979999999999998
137778-4-9163234-task-9wxo-30864424-ceremony-27-2	1.178
137778-4-9163234-task-9wxo-30864424-ceremony-32-2	1.0819999999999999
137778-4-9163234-task-9wxo-30864424-ceremony-76-2	1.138
